id,label
1,sport
2,sport
3,sport
4,sport
5,sport
6,sport
7,sport
8,sport
9,sport
10,sport
11,sport
12,sport
13,sport
14,sport
15,sport
16,sport
17,sport
18,sport
19,sport
20,sport
21,sport
22,sport
23,sport
24,sport
25,sport
26,sport
27,sport
28,sport
29,sport
30,sport
31,sport
32,sport
33,sport
34,sport
35,sport
36,sport
37,sport
38,sport
39,sport
40,sport
41,sport
42,sport
43,sport
44,sport
45,sport
46,sport
47,sport
48,sport
49,sport
50,sport
51,sport
52,sport
53,sport
54,sport
55,sport
56,sport
57,sport
58,sport
59,sport
60,sport
61,sport
62,sport
63,sport
64,sport
65,sport
66,sport
67,sport
68,sport
69,sport
70,sport
71,sport
72,sport
73,sport
74,sport
75,sport
76,sport
77,sport
78,sport
79,sport
80,sport
81,sport
82,sport
83,sport
84,sport
85,sport
86,sport
87,sport
88,sport
89,sport
90,sport
91,sport
92,sport
93,sport
94,sport
95,sport
96,sport
97,sport
98,sport
99,sport
100,sport
101,finance
102,finance
103,finance
104,finance
105,finance
106,finance
107,finance
108,finance
109,finance
110,finance
111,finance
112,finance
113,finance
114,finance
115,finance
116,finance
117,finance
118,finance
119,finance
120,finance
121,finance
122,finance
123,finance
124,finance
125,finance
126,finance
127,finance
128,finance
129,finance
130,finance
131,finance
132,finance
133,finance
134,finance
135,finance
136,finance
137,finance
138,finance
139,finance
140,finance
141,finance
142,finance
143,finance
144,finance
145,finance
146,finance
147,finance
148,finance
149,finance
150,finance
151,finance
152,finance
153,finance
154,finance
155,finance
156,finance
157,finance
158,finance
159,finance
160,finance
161,finance
162,finance
163,finance
164,finance
165,finance
166,finance
167,finance
168,finance
169,finance
170,finance
171,finance
172,finance
173,finance
174,finance
175,finance
176,finance
177,finance
178,finance
179,finance
180,finance
181,finance
182,finance
183,finance
184,finance
185,finance
186,finance
187,finance
188,finance
189,finance
190,finance
191,finance
192,finance
193,finance
194,finance
195,finance
196,finance
197,finance
198,finance
199,finance
200,finance
